File ID,Script Content,Defect Label,Dataset Name
11,class       osnailyfacter    virtual_ips    virtual_ips     ,1,2
12,class keystone    ldap     url   undef     user   undef     password   undef     suffix   undef     query_scope   undef     page_size   undef     user_tree_dn   undef     user_filter   undef     user_objectclass   undef     user_id_attribute   undef     user_name_attribute   undef     user_mail_attribute   undef     user_enabled_attribute   undef     user_enabled_mask   undef     user_enabled_default   undef     user_enabled_invert   undef     user_attribute_ignore   undef     user_default_project_id_attribute   undef     user_allow_create   undef     user_allow_update   undef     user_allow_delete   undef     user_pass_attribute   undef     user_enabled_emulation   undef     user_enabled_emulation_dn   undef     user_additional_attribute_mapping   undef     project_tree_dn   undef     project_filter   undef     project_objectclass   undef     project_id_attribute   undef     project_member_attribute   undef     project_desc_attribute   undef     project_name_attribute   undef     project_enabled_attribute   undef     project_domain_id_attribute   undef     project_attribute_ignore   undef     project_allow_create   undef     project_allow_update   undef     project_allow_delete   undef     project_enabled_emulation   undef     project_enabled_emulation_dn   undef     project_additional_attribute_mapping  undef     role_tree_dn   undef     role_filter   undef     role_objectclass   undef     role_id_attribute   undef     role_name_attribute   undef     role_member_attribute   undef     role_attribute_ignore   undef     role_allow_create   undef     role_allow_update   undef     role_allow_delete   undef     role_additional_attribute_mapping   undef     group_tree_dn   undef     group_filter   undef     group_objectclass   undef     group_id_attribute   undef     group_name_attribute   undef     group_member_attribute   undef     group_desc_attribute   undef     group_attribute_ignore   undef     group_allow_create   undef     group_allow_update   undef     group_allow_delete   undef     group_additional_attribute_mapping   undef     use_tls   undef     tls_cacertdir   undef     tls_cacertfile   undef     tls_req_cert   undef     identity_driver   undef     assignment_driver   undef     credential_driver   undef     use_pool   false     pool_size        pool_retry_max        pool_retry_delay         pool_connection_timeout         pool_connection_lifetime   600     use_auth_pool   false     auth_pool_size   100     auth_pool_connection_lifetime        package_ensure   present     manage_packages   true       include    keystone    deps   manage_packages     ldap_packages     python ldap    python ldappool    ensure_resource   package      ldap_packages     ensure       package_ensure   tag     keystone package            tls_cacertdir     undef     file     tls_cacertdir   ensure     directory     keystone_config   ldap url    value       url   ldap user    value       user   ldap password    value       password   secret     true   ldap suffix    value       suffix   ldap query_scope    value       query_scope   ldap page_size    value       page_size   ldap user_tree_dn    value       user_tree_dn   ldap user_filter    value       user_filter   ldap user_objectclass    value       user_objectclass   ldap user_id_attribute    value       user_id_attribute   ldap user_name_attribute    value       user_name_attribute   ldap user_mail_attribute    value       user_mail_attribute   ldap user_enabled_attribute    value       user_enabled_attribute   ldap user_enabled_mask    value       user_enabled_mask   ldap user_enabled_default    value       user_enabled_default   ldap user_enabled_invert    value       user_enabled_invert   ldap user_attribute_ignore    value       user_attribute_ignore   ldap user_default_project_id_attribute    value       user_default_project_id_attribute   ldap user_allow_create    value       user_allow_create   ldap user_allow_update    value       user_allow_update   ldap user_allow_delete    value       user_allow_delete   ldap user_pass_attribute    value       user_pass_attribute   ldap user_enabled_emulation    value       user_enabled_emulation   ldap user_enabled_emulation_dn    value       user_enabled_emulation_dn   ldap user_additional_attribute_mapping    value       user_additional_attribute_mapping   ldap project_tree_dn    value       project_tree_dn   ldap project_filter    value       project_filter   ldap project_objectclass    value       project_objectclass   ldap project_id_attribute    value       project_id_attribute   ldap project_member_attribute    value       project_member_attribute   ldap project_desc_attribute    value       project_desc_attribute   ldap project_name_attribute    value       project_name_attribute   ldap project_enabled_attribute    value       project_enabled_attribute   ldap project_attribute_ignore    value       project_attribute_ignore   ldap project_domain_id_attribute    value       project_domain_id_attribute   ldap project_allow_create    value       project_allow_create   ldap project_allow_update    value       project_allow_update   ldap project_allow_delete    value       project_allow_delete   ldap project_enabled_emulation    value       project_enabled_emulation   ldap project_enabled_emulation_dn    value       project_enabled_emulation_dn   ldap project_additional_attribute_mapping    value       project_additional_attribute_mapping   ldap role_tree_dn    value       role_tree_dn   ldap role_filter    value       role_filter   ldap role_objectclass    value       role_objectclass   ldap role_id_attribute    value       role_id_attribute   ldap role_name_attribute    value       role_name_attribute   ldap role_member_attribute    value       role_member_attribute   ldap role_attribute_ignore    value       role_attribute_ignore   ldap role_allow_create    value       role_allow_create   ldap role_allow_update    value       role_allow_update   ldap role_allow_delete    value       role_allow_delete   ldap role_additional_attribute_mapping    value       role_additional_attribute_mapping   ldap group_tree_dn    value       group_tree_dn   ldap group_filter    value       group_filter   ldap group_objectclass    value       group_objectclass   ldap group_id_attribute    value       group_id_attribute   ldap group_name_attribute    value       group_name_attribute   ldap group_member_attribute    value       group_member_attribute   ldap group_desc_attribute    value       group_desc_attribute   ldap group_attribute_ignore    value       group_attribute_ignore   ldap group_allow_create    value       group_allow_create   ldap group_allow_update    value       group_allow_update   ldap group_allow_delete    value       group_allow_delete   ldap group_additional_attribute_mapping    value       group_additional_attribute_mapping   ldap use_tls    value       use_tls   ldap tls_cacertdir    value       tls_cacertdir   ldap tls_cacertfile    value       tls_cacertfile   ldap tls_req_cert    value       tls_req_cert   ldap use_pool    value       use_pool   ldap pool_size    value       pool_size   ldap pool_retry_max    value       pool_retry_max   ldap pool_retry_delay    value       pool_retry_delay   ldap pool_connection_timeout    value       pool_connection_timeout   ldap pool_connection_lifetime    value       pool_connection_lifetime   ldap use_auth_pool    value       use_auth_pool   ldap auth_pool_size    value       auth_pool_size   ldap auth_pool_connection_lifetime    value       auth_pool_connection_lifetime   identity driver    value       identity_driver   credential driver    value       credential_driver   assignment driver    value       assignment_driver      ,1,2
13,class ceilometer    config     ceilometer_config           ceilometer_api_paste_ini             validate_hash     ceilometer_config   validate_hash     ceilometer_api_paste_ini   create_resources   ceilometer_config      ceilometer_config   create_resources   ceilometer_api_paste_ini      ceilometer_api_paste_ini    ,0,2
14,define npm    global   require    npm exec      npm_global_     title      command         usr bin npm install       title      user     root    group     root    creates         usr lib node_modules      title      environment          npm_config_cache         npm    cache_dir      npm_config_global false    link              ,1,3
15,define l23network        route     destination     gateway     metric   undef     vendor_specific   undef     by_network_scheme   false     provider   undef     ensure   present        include    l23network    params   r_name   get_route_resource_name     destination     metric     defined   l3_route     r_name         provider     config_provider          provider           l23_os      else     config_provider   undef   l3_route     r_name   ensure       ensure   destination       destination   gateway       gateway   metric       metric   vendor_specific       vendor_specific   provider       provider       by_network_scheme   l3_ifconfig            l3_route            anchor   l23network    init        l3_route         ,1,2
16,define nova    manage    floating     network     include    nova    deps nova_floating     name   ensure     present   network       network   provider     nova_manage       ,0,2
17,class runner    tasks    restart_services     runlevel      include runner   service_names       file       opt runner tasks   restart_services    ensure     absent     file       opt runner tasks  100 restart_services    ensure     absent     runner    task          runlevel    restart_services    content     template          module_name    tasks restart_services erb         ,1,1
18,class puppetmaster    puppetsync_user   include puppetmaster    settings   homedir     puppetmaster    settings    puppetsync_home case      operatingsystem   centos   ubuntu     user   puppetsync    managehome     true   home       homedir   password           comment        synchronizes data beteween puppet masters        default     fai      support      operatingsystem        file          homedir      ensure     directory   owner     puppetsync   group     puppetsync   mode        0700    purge     true   recurse     true   force     true   require     user   puppetsync             homedir     ssh    owner     puppetsync   group     puppetsync   mode        0700    ensure     directory          homedir     ssh known_hosts    ensure     absent          homedir     ssh config    content     template          module_name    puppetsync_ssh_config erb      owner     puppetsync   group     puppetsync   mode        0600        privkey       var lib puppet  puppetsync_rsa    pubkey       var lib puppet  puppetsync_rsa pub         puppetmaster    settings    is_distinguished     exec   create puppetsync private key    command         usr bin ssh keygen     privkey         logoutput     true   creates       privkey       puppetsync_pubkey   file     pubkey   file          homedir     ssh authorized_keys    content     template          module_name    puppetsync_authorized_keys erb      owner     puppetsync   group     puppetsync   mode        0600        else   file          homedir     ssh puppetsync_rsa    owner     puppetsync   group     puppetsync   mode        0600    content     file     privkey     show_diff     false       file     privkey   owner     puppet   group     puppet   mode        0600    content     file     privkey     show_diff     false     pubkey   owner     puppet   group     puppet   mode        0600    content     file     pubkey        ,1,1
19,class ceilometer    logging     use_syslog        os_service_default     use_stderr        os_service_default     log_facility        os_service_default     log_dir    var log ceilometer      debug        os_service_default     logging_context_format_string        os_service_default     logging_default_format_string        os_service_default     logging_debug_format_suffix        os_service_default     logging_exception_prefix        os_service_default     log_config_append        os_service_default     default_log_levels        os_service_default     publish_errors        os_service_default     fatal_deprecations        os_service_default     instance_format        os_service_default     instance_uuid_format        os_service_default     log_date_format        os_service_default     verbose   undef         use_syslog_real   pick        ceilometer    use_syslog     use_syslog     use_stderr_real   pick        ceilometer    use_stderr     use_stderr     log_facility_real   pick        ceilometer    log_facility     log_facility     log_dir_real   pick        ceilometer    log_dir     log_dir     debug_real   pick        ceilometer    debug     debug     verbose   warning   verbose deprecated   effect removed newton cycle        oslo    log   ceilometer_config    debug       debug_real   use_stderr       use_stderr_real   use_syslog       use_syslog_real   log_dir       log_dir_real   syslog_log_facility       log_facility_real   logging_context_format_string       logging_context_format_string   logging_default_format_string       logging_default_format_string   logging_debug_format_suffix       logging_debug_format_suffix   logging_exception_prefix       logging_exception_prefix   log_config_append       log_config_append   default_log_levels       default_log_levels   publish_errors       publish_errors   fatal_deprecations       fatal_deprecations   instance_format       instance_format   instance_uuid_format       instance_uuid_format   log_date_format       log_date_format      ,1,2
20,define cinder    type_set     type     key     value     name     os_password   undef     os_tenant_name   undef     os_username   undef     os_auth_url   undef     os_region_name   undef         os_password   os_region_name   os_tenant_name   os_username   os_auth_url   warning   parameters   os_password    os_region_name    os_tenant_name    os_username    os_auth_url longer required      warning   auth creds used env  root openrc file cinder conf      cinder_type     type   ensure     present   properties              key         value           ,0,2
21,class ceph    mds     mds_activate   true     mds_data    var lib ceph mds    cluster          keyring    var lib ceph mds    cluster     keyring          mds_activate   ceph_config   mds mds_data    value       mds_data   mds keyring    value       keyring       else   ceph_config   mds mds_data    ensure     absent   mds keyring    ensure     absent        ,0,2
22,class role    wikidata     main_page     require    role    mediawiki include    role    sitematrix mediawiki    wiki   wikidata      ensure_resource   mediawiki    wiki        mediawiki    import    text     main_page   content     welcome wikidata    wiki     wikidata    db_name     wikidatawiki      mediawiki    import    text   mediawiki   mainpage    content       main_page   wiki     wikidata    db_name     wikidatawiki      mediawiki    extension   wikidatabuildresources    remote     https   entrypoint     wikidata php    composer     true   needs_update     true   settings     template   role wikidata shared php erb        mediawiki    settings   wikidata init    priority          load_early   values     template   role wikidata init php erb        exec   wikidata update git remote    command      usr bin git remote set url origin https   unless         usr bin git remote     grep   https   cwd               mediawiki    dir    extensions wikidatabuildresources    require     mediawiki    extension   wikidatabuildresources        mediawiki    maintenance   wikidata populate site tables    command         usr local bin foreachwikiwithextension wikidatabuildresources extensions wikidatabuildresources extensions wikibase lib maintenance populatesitestable php    load from http   refreshonly     true     mediawiki    wiki             mediawiki    maintenance   wikidata populate site tables     ,0,3
23,define pacemaker    resource         ensure   present      ip_address   undef     cidr_netmask         nic          group_params          post_success_sleep        tries        try_sleep        verify_on_create   false         cidr_option     cidr_netmask                 default        cidr_netmask      cidr_netmask        nic_option     nic                 default        nic      nic        resource_name   regsubst     ip_address                        pcmk_resource            resource_name      ensure       ensure   resource_type     ipaddr2    resource_params              ip_address       cidr_option       nic_option      group_params       group_params   post_success_sleep       post_success_sleep   tries       tries   try_sleep       try_sleep   verify_on_create       verify_on_create   require     exec   wait for settle         ,1,2
24,class openstack_integration    heat   include    openstack_integration    config include    openstack_integration    params rabbitmq_user   heat    admin     true   password     an_even_bigger_secret    provider     rabbitmqctl    require     class       rabbitmq        rabbitmq_user_permissions   heat        configure_permission             write_permission             read_permission             provider     rabbitmqctl    require     class       rabbitmq             openstack_integration    config    ssl   openstack_integration    ssl_key   heat    require     package   heat common          key_file       etc heat ssl private         fqdn    pem    crt_file        openstack_integration    params    cert_path file     key_file       service     tag    heat service      exec   update  certificates        service     tag    heat service        else     key_file   undef   crt_file   undef   class       heat    keystone    authtoken    password     a_big_secret    user_domain_name     default    project_domain_name     default    auth_url          openstack_integration    config    keystone_admin_uri   auth_uri          openstack_integration    config    keystone_auth_uri   memcached_servers          openstack_integration    config    memcached_servers     class       heat    rabbit_userid     heat    rabbit_password     an_even_bigger_secret    rabbit_host          openstack_integration    config    ip_for_url   rabbit_use_ssl          openstack_integration    config    ssl   rabbit_port          openstack_integration    config    rabbit_port   database_connection     mysql pymysql   debug     true     class       heat        mysql    password     heat      class       heat    keystone    auth    password     a_big_secret    configure_delegated_roles     true   public_url               openstack_integration    config    base_url    8004       tenant_id      internal_url               openstack_integration    config    base_url    8004       tenant_id      admin_url               openstack_integration    config    base_url    8004       tenant_id        class       heat    keystone    domain    domain_password     oh_my_no_secret      keystone_user_role   heat_admin    heat      heat        file    root openrc    class       heat    client      class       heat    api    bind_host          openstack_integration    config    host   workers          use_ssl          openstack_integration    config    ssl   cert_file       crt_file   key_file       key_file     class       heat    engine    auth_encryption_key     1234567890azertyuiopmlkjhgfdsq12    heat_metadata_server_url               openstack_integration    config    base_url    8000    heat_waitcondition_server_url               openstack_integration    config    base_url    8000  waitcondition    heat_watch_server_url               openstack_integration    config    base_url    8003      class       heat    api_cloudwatch    bind_host          openstack_integration    config    host   workers          use_ssl          openstack_integration    config    ssl   cert_file       crt_file   key_file       key_file     class       heat    api_cfn    bind_host          openstack_integration    config    host   workers          use_ssl          openstack_integration    config    ssl   cert_file       crt_file   key_file       key_file      ,1,2
25,class role    oauth     dir     secret_key     example_consumer_key     example_consumer_secret     example_secret_key       require    role    mediawiki mediawiki    extension   oauth    needs_update     true   composer     true   settings          wgmwoauthsecuretokentransfer   false           wgoauthsecretkey        secret_key          wggrouppermissions      sysop         mwoauthmanageconsumer      true       wggrouppermissions      user         mwoauthproposeconsumer      true       wggrouppermissions      user         mwoauthupdateownconsumer      true       wgoauthgroupstonotify        sysop           file     dir   ensure     directory     file          dir    index php    content     template   role oauth hello_world php erb        file          dir    oauth hello world ini    content     template   role oauth oauth hello world ini erb        apache    site_conf   oauth hello world    site     devwiki    content     template   role oauth apache conf erb        role    oauth    consumer   hello world    description     oauth test  vagrant    consumer_key       example_consumer_key   secret_key       example_secret_key   callback_url               mediawiki    server_url    oauth hello world     grants       useoauth    editpage    createeditmovepage        mediawiki    import    text   vagrantroleoauth    source     puppet      ,1,3
26,define oslo    policy     policy_file        os_service_default     policy_default_rule        os_service_default     policy_dirs        os_service_default         is_service_default     policy_dirs       policy_dirs_orig   join   any2array     policy_dirs             else     policy_dirs_orig     policy_dirs     policy_options     oslo_policy policy_file        value       policy_file     oslo_policy policy_default_rule        value       policy_default_rule     oslo_policy policy_dirs        value       policy_dirs_orig       create_resources     name     policy_options    ,1,2
27,notice   modular   odl service     class   opendaylight    service     ,1,2
28,class swift    proxy    slo     max_manifest_segments   1000      max_manifest_size   2097152      min_segment_size   1048576      rate_limit_after_segment         rate_limit_segments_per_sec          max_get_time   86400     include    swift    deps concat    fragment   swift_slo    target      etc swift proxy server conf    content     template   swift proxy slo conf erb      order     230       ,0,2
29,class murano         database_connection   mysql     database_idle_timeout        os_service_default     database_min_pool_size        os_service_default     database_max_pool_size        os_service_default     database_max_retries        os_service_default     database_retry_interval        os_service_default     database_max_overflow        os_service_default     database_db_max_retries        os_service_default         database_connection_real   pick        murano    database_connection     database_connection     database_idle_timeout_real   pick        murano    database_idle_timeout     database_idle_timeout     database_min_pool_size_real   pick        murano    database_min_pool_size     database_min_pool_size     database_max_pool_size_real   pick        murano    database_max_pool_size     database_max_pool_size     database_max_retries_real   pick        murano    database_max_retries     database_max_retries     database_retry_interval_real   pick        murano    database_retry_interval     database_retry_interval     database_max_overflow_real   pick        murano    database_max_overflow     database_max_overflow   validate_re     database_connection_real       mysql     pymysql      postgresql                                    oslo       murano_config    connection       database_connection_real   idle_timeout       database_idle_timeout_real   min_pool_size       database_min_pool_size_real   max_pool_size       database_max_pool_size_real   max_retries       database_max_retries_real   retry_interval       database_retry_interval_real   max_overflow       database_max_overflow_real   db_max_retries       database_db_max_retries      ,0,2
30,class midonet    cluster    install     package_name   midonet cluster      is_mem   false     package   midonet cluster    ensure     present   name       package_name       is_mem   package   midonet cluster mem    ensure     present   require     class   midonet    repository        else   notice   skipping installation midonet cluster mem       ,0,2
31,class packages    mod_passenger   case      operatingsystem   centos     package      mod_passenger    ensure            el6        default     fail      install      operatingsystem         ,0,1
32,define bors    cron     basedir     owner     status_location     include packages    procmail file       etc cron  bors      title      ensure     absent      ,0,1
33,class designate    keystone    auth     password   false     email   designate   localhost      auth_name   designate      service_name   designate      service_type   dns      service_description   openstack dnsaas service      region   regionone      tenant   services      configure_user   true     configure_user_role   true     configure_endpoint   true     public_url   http     admin_url   http     internal_url   http       keystone_user_role          auth_name         tenant          service     name    designate api      keystone    resource    service_identity   designate    configure_user       configure_user   configure_user_role       configure_user_role   configure_endpoint       configure_endpoint   service_name       service_name   service_type       service_type   service_description       service_description   region       region   auth_name       auth_name   password       password   email       email   tenant       tenant   public_url       public_url   internal_url       internal_url   admin_url       admin_url      ,1,2
